"","new_up_set_id","mean_evmt","mean_wait_duration","delta_evmt","type","dcfc_count","total_cost","cost_eff"
"1",0,101126.8,2305.4,0,"basecase",0,0,NA
"2",1,101916.2,948.6,789.399999999994,"upgrade",1,290873,0.00271389919311863
"3",2,101876.2,443.8,749.399999999994,"upgrade",2,526686,0.00142285916086624
"4",3,101853.8,348.4,727,"upgrade",3,790029,0.000920219384351714
"5",4,101906.2,317.4,779.399999999994,"upgrade",4,1053372,0.000739909547624196
"6",5,101892.6,303.6,765.800000000003,"upgrade",5,1271775,0.000602150537634411
"7",6,101909,316.6,782.199999999997,"upgrade",6,1526130,0.000512538250345644
"8",7,101871.8,293.6,745,"upgrade",7,1780485,0.000418425316697417
"9",8,101902.8,315,776,"upgrade",8,2034840,0.000381356765151068
"10",9,101894.6,352.8,767.800000000003,"upgrade",9,2289195,0.000335401746028627
"11",10,101854,330,727.199999999997,"upgrade",10,2543550,0.000285899628472016
"12",11,101888.2,2632.2,761.399999999994,"new",1,369535,0.00206042729376106
"13",12,101967,1515.6,840.199999999997,"new",2,646360,0.00129989479547001
"14",13,101875.4,1590.4,748.599999999991,"new",3,830475,0.000901411842620177
"15",14,101905.8,1683,779,"new",4,1107300,0.000703513049760679
"16",15,101948.8,1538.4,822,"new",5,1384125,0.000593876998103495
"17",16,101946,1735,819.199999999997,"new",6,1526130,0.00053678258077621
"18",17,101970.6,1665.4,843.800000000003,"new",7,1780485,0.000473915815072861
"19",18,101976.8,1578,850,"new",8,2034840,0.000417723260796918
"20",19,101931.2,1673.4,804.399999999994,"new",9,2289195,0.000351389899069321
"21",20,101946.2,1501.6,819.399999999994,"new",10,2543550,0.000322148178726581
"22",21,105129.4,2812.6,4002.59999999999,"new",1,369535,0.0108314503362334
"23",22,105070.2,1659.8,3943.39999999999,"new",2,646360,0.00610093446376631
"24",23,105112.6,1630.2,3985.8,"new",3,830475,0.0047994220175201
"25",24,105111.8,1238,3985,"new",4,1107300,0.00359884403504019
"26",25,105105.6,1444.2,3978.8,"new",5,1384125,0.00287459586381288
"27",26,105114.2,1212,3987.39999999999,"new",6,1526130,0.00261275251780647
"28",27,105107,1192.6,3980.2,"new",7,1780485,0.00223545831613296
"29",28,105108.2,1141.6,3981.39999999999,"new",8,2034840,0.00195661575357276
"30",29,105111.6,1181.6,3984.8,"new",9,2289195,0.0017406992414364
"31",30,105104,1452,3977.2,"new",10,2543550,0.00156364136738024
